window_start,window_end,host,label,event,source,note
2026-08-19T07:44:09.115755Z,2026-08-19T07:49:13.290354Z,cubebox,1,"jobspy nightly scan, remote scope, model extraction stage",nightly-history.tsv start 02:00; screened csv mtime 02:19 ends scraping; extracted csv mtime 15:36 ends extraction,seeded by tools/seed_labels.py
2026-08-19T07:49:24.804123Z,2026-08-19T07:54:23.007810Z,cubebox,1,"jobspy nightly scan, remote scope, model extraction stage",nightly-history.tsv start 02:00; screened csv mtime 02:19 ends scraping; extracted csv mtime 15:36 ends extraction,seeded by tools/seed_labels.py
2026-08-19T07:54:34.564189Z,2026-08-19T07:59:32.545272Z,cubebox,1,"jobspy nightly scan, remote scope, model extraction stage",nightly-history.tsv start 02:00; screened csv mtime 02:19 ends scraping; extracted csv mtime 15:36 ends extraction,seeded by tools/seed_labels.py
2026-08-19T07:59:44.086792Z,2026-08-19T08:04:42.012179Z,cubebox,1,"jobspy nightly scan, remote scope, model extraction stage",nightly-history.tsv start 02:00; screened csv mtime 02:19 ends scraping; extracted csv mtime 15:36 ends extraction,seeded by tools/seed_labels.py
2026-08-19T08:04:53.618239Z,2026-08-19T08:09:51.339560Z,cubebox,1,"jobspy nightly scan, remote scope, model extraction stage",nightly-history.tsv start 02:00; screened csv mtime 02:19 ends scraping; extracted csv mtime 15:36 ends extraction,seeded by tools/seed_labels.py
2026-08-19T08:10:02.825035Z,2026-08-19T08:15:00.916633Z,cubebox,1,"jobspy nightly scan, remote scope, model extraction stage",nightly-history.tsv start 02:00; screened csv mtime 02:19 ends scraping; extracted csv mtime 15:36 ends extraction,seeded by tools/seed_labels.py
2026-08-19T08:15:12.391048Z,2026-08-19T08:20:10.322839Z,cubebox,1,"jobspy nightly scan, remote scope, model extraction stage",nightly-history.tsv start 02:00; screened csv mtime 02:19 ends scraping; extracted csv mtime 15:36 ends extraction,seeded by tools/seed_labels.py
2026-08-19T08:20:21.935929Z,2026-08-19T08:25:19.781176Z,cubebox,1,"jobspy nightly scan, remote scope, model extraction stage",nightly-history.tsv start 02:00; screened csv mtime 02:19 ends scraping; extracted csv mtime 15:36 ends extraction,seeded by tools/seed_labels.py
2026-08-19T08:25:31.351935Z,2026-08-19T08:30:29.300821Z,cubebox,1,"jobspy nightly scan, remote scope, model extraction stage",nightly-history.tsv start 02:00; screened csv mtime 02:19 ends scraping; extracted csv mtime 15:36 ends extraction,seeded by tools/seed_labels.py
2026-08-19T08:30:40.791306Z,2026-08-19T08:35:48.532167Z,cubebox,1,"jobspy nightly scan, remote scope, model extraction stage",nightly-history.tsv start 02:00; screened csv mtime 02:19 ends scraping; extracted csv mtime 15:36 ends extraction,seeded by tools/seed_labels.py
2026-08-19T08:35:58.541618Z,2026-08-19T08:40:57.966460Z,cubebox,1,"jobspy nightly scan, remote scope, model extraction stage",nightly-history.tsv start 02:00; screened csv mtime 02:19 ends scraping; extracted csv mtime 15:36 ends extraction,seeded by tools/seed_labels.py
